# http://127.0.0.1:6568 --workers 5 --loaded-duration-minutes 5 --output-dir run --overwrite-output
# {"appUrl":"http://127.0.0.1:6568","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"run","overwriteOutput":true,"recordingPath":"recording.log","workers":5}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298526,75,
6,1,1,WS_SEND_START,1675836298526,75,
6,1,1,WS_SEND_END,1675836298526,75,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298526,76,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298542,76,
6,1,1,WS_SEND_START,1675836298542,76,
6,1,1,WS_SEND_END,1675836298542,76,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298542,77,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298558,77,
6,1,1,WS_SEND_START,1675836298558,77,
6,1,1,WS_SEND_END,1675836298558,77,
6,1,1,WS_RECV_START,1675836298558,78,
6,1,1,WS_RECV_END,1675836298702,78,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298702,79,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298713,79,
6,1,1,WS_SEND_START,1675836298713,79,
6,1,1,WS_SEND_END,1675836298713,79,
6,1,1,WS_RECV_START,1675836298713,80,
6,1,1,WS_RECV_END,1675836299068,80,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836299068,81,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836302094,81,
6,1,1,WS_SEND_START,1675836302094,81,
6,1,1,WS_SEND_END,1675836302094,81,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836302094,82,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836302110,82,
6,1,1,WS_SEND_START,1675836302110,82,
6,1,1,WS_SEND_END,1675836302110,82,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836302110,83,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836303740,83,
6,1,1,WS_SEND_START,1675836303740,83,
6,1,1,WS_SEND_END,1675836303740,83,
6,1,1,WS_RECV_START,1675836303740,84,
6,1,1,WS_RECV_END,1675836308953,84,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836308953,85,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836308958,85,
6,1,1,WS_SEND_START,1675836308958,85,
6,1,1,WS_SEND_END,1675836308958,85,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836308958,86,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836311888,86,
6,1,1,WS_SEND_START,1675836311888,86,
6,1,1,WS_SEND_END,1675836311889,86,
6,1,1,WS_RECV_START,1675836311889,87,
6,1,1,WS_RECV_END,1675836318239,87,
6,1,1,WS_RECV_START,1675836318239,88,
6,1,1,WS_RECV_END,1675836320276,88,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836320277,89,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836320295,89,
6,1,1,WS_SEND_START,1675836320295,89,
6,1,1,WS_SEND_END,1675836320295,89,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836320295,90,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836321366,90,
6,1,1,WS_SEND_START,1675836321366,90,
6,1,1,WS_SEND_END,1675836321366,90,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836321366,91,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836323111,91,
